CRIM	ZN	INDUS	CHAS	NOX	RM	AGE	DIS	RAD	TAX	PTRATIO	B	LSTAT	MEDV
0.14455	12.5	7.87	0	0.5240	6.172	96.1	59.505	5	311	15.2	396.90	19.15	27.1
0.21124	12.5	7.87	0	0.5240	5.631	100.0	60.821	5	311	15.2	386.63	29.93	16.5
0.17004	12.5	7.87	0	0.5240	6.004	85.9	65.921	5	311	15.2	386.71	17.10	18.9
0.22489	12.5	7.87	0	0.5240	6.377	94.3	63.467	5	311	15.2	392.52	20.45	15.0
0.11747	12.5	7.87	0	0.5240	6.009	82.9	62.267	5	311	15.2	396.90	13.27	18.9
0.09378	12.5	7.87	0	0.5240	5.889	39.0	54.509	5	311	15.2	390.50	15.71	21.7
0.62976	0.0	8.14	0	0.5380	5.949	61.8	47.075	4	307	21.0	396.90	8.26	20.4
0.63796	0.0	8.14	0	0.5380	6.096	84.5	44.619	4	307	21.0	380.02	10.26	18.2
0.62739	0.0	8.14	0	0.5380	5.834	56.5	44.986	4	307	21.0	395.62	8.47	19.9
105.393	0.0	8.14	0	0.5380	5.935	29.3	44.986	4	307	21.0	386.85	6.58	23.1
0.78420	0.0	8.14	0	0.5380	5.990	81.7	42.579	4	307	21.0	386.75	14.67	17.5
0.80271	0.0	8.14	0	0.5380	5.456	36.6	37.965	4	307	21.0	288.99	11.69	20.2
0.72580	0.0	8.14	0	0.5380	5.727	69.5	37.965	4	307	21.0	390.95	11.28	18.2
125.179	0.0	8.14	0	0.5380	5.570	98.1	37.979	4	307	21.0	376.57	21.02	13.6
0.85204	0.0	8.14	0	0.5380	5.965	89.2	40.123	4	307	21.0	392.53	13.83	19.6
123.247	0.0	8.14	0	0.5380	6.142	91.7	39.769	4	307	21.0	396.90	18.72	15.2
0.98843	0.0	8.14	0	0.5380	5.813	100.0	40.952	4	307	21.0	394.54	19.88	14.5
0.75026	0.0	8.14	0	0.5380	5.924	94.1	43.996	4	307	21.0	394.33	16.30	15.6
0.84054	0.0	8.14	0	0.5380	5.599	85.7	44.546	4	307	21.0	303.42	16.51	13.9
0.67191	0.0	8.14	0	0.5380	5.813	90.3	46.820	4	307	21.0	376.88	14.81	16.6
0.95577	0.0	8.14	0	0.5380	6.047	88.8	44.534	4	307	21.0	306.38	17.28	14.8
0.77299	0.0	8.14	0	0.5380	6.495	94.4	44.547	4	307	21.0	387.94	12.80	18.4
100.245	0.0	8.14	0	0.5380	6.674	87.3	42.390	4	307	21.0	380.23	11.98	21.0
113.081	0.0	8.14	0	0.5380	5.713	94.1	42.330	4	307	21.0	360.17	22.60	12.7
135.472	0.0	8.14	0	0.5380	6.072	100.0	41.750	4	307	21.0	376.73	13.04	14.5
138.799	0.0	8.14	0	0.5380	5.950	82.0	39.900	4	307	21.0	232.60	27.71	13.2
115.172	0.0	8.14	0	0.5380	5.701	95.0	37.872	4	307	21.0	358.77	18.35	13.1
161.282	0.0	8.14	0	0.5380	6.096	96.9	37.598	4	307	21.0	248.31	20.34	13.5
0.06417	0.0	5.96	0	0.4990	5.933	68.2	33.603	5	279	19.2	396.90	9.68	18.9
0.09744	0.0	5.96	0	0.4990	5.841	61.4	33.779	5	279	19.2	377.56	11.41	20.0
0.08014	0.0	5.96	0	0.4990	5.850	41.5	39.342	5	279	19.2	396.90	8.77	21.0
0.17505	0.0	5.96	0	0.4990	5.966	30.2	38.473	5	279	19.2	393.43	10.13	24.7
0.02763	75.0	2.95	0	0.4280	6.595	21.8	54.011	3	252	18.3	395.63	4.32	30.8
0.03359	75.0	2.95	0	0.4280	7.024	15.8	54.011	3	252	18.3	395.62	1.98	34.9
0.12744	0.0	6.91	0	0.4480	6.770	2.9	57.209	3	233	17.9	385.41	4.84	26.6
0.14150	0.0	6.91	0	0.4480	6.169	6.6	57.209	3	233	17.9	383.37	5.81	25.3
0.15936	0.0	6.91	0	0.4480	6.211	6.5	57.209	3	233	17.9	394.46	7.44	24.7
0.12269	0.0	6.91	0	0.4480	6.069	40.0	57.209	3	233	17.9	389.39	9.55	21.2
0.17142	0.0	6.91	0	0.4480	5.682	33.8	51.004	3	233	17.9	396.90	10.21	19.3
0.18836	0.0	6.91	0	0.4480	5.786	33.3	51.004	3	233	17.9	396.90	14.15	20.0
0.22927	0.0	6.91	0	0.4480	6.030	85.5	56.894	3	233	17.9	392.74	18.80	16.6
0.25387	0.0	6.91	0	0.4480	5.399	95.3	58.700	3	233	17.9	396.90	30.81	14.4
0.01432	100.0	1.32	0	0.4110	6.816	40.5	83.248	5	256	15.1	392.90	3.95	31.6
0.15445	25.0	5.13	0	0.4530	6.145	29.2	78.148	8	284	19.7	390.68	6.86	23.3
0.10328	25.0	5.13	0	0.4530	5.927	47.2	69.320	8	284	19.7	396.90	9.22	19.6
0.14932	25.0	5.13	0	0.4530	5.741	66.2	72.254	8	284	19.7	395.11	13.15	18.7
0.17171	25.0	5.13	0	0.4530	5.966	93.4	68.185	8	284	19.7	378.08	14.44	16.0
0.11027	25.0	5.13	0	0.4530	6.456	67.8	72.255	8	284	19.7	396.90	6.73	22.2
0.12650	25.0	5.13	0	0.4530	6.762	43.4	79.809	8	284	19.7	395.58	9.50	25.0
0.01951	17.5	1.38	0	0.4161	7.104	59.5	92.229	3	216	18.6	393.24	8.05	33.0
0.03584	80.0	3.37	0	0.3980	6.290	17.8	66.115	4	337	16.1	396.90	4.67	23.5
0.04379	80.0	3.37	0	0.3980	5.787	31.1	66.115	4	337	16.1	396.90	10.24	19.4
0.05789	12.5	6.07	0	0.4090	5.878	21.4	64.980	4	345	18.9	396.21	8.10	22.0
0.13554	12.5	6.07	0	0.4090	5.594	36.8	64.980	4	345	18.9	396.90	13.09	17.4
0.12816	12.5	6.07	0	0.4090	5.885	33.0	64.980	4	345	18.9	396.90	8.79	20.9
0.08826	0.0	10.81	0	0.4130	6.417	6.6	52.873	4	305	19.2	383.73	6.72	24.2
0.15876	0.0	10.81	0	0.4130	5.961	17.5	52.873	4	305	19.2	376.94	9.88	21.7
0.09164	0.0	10.81	0	0.4130	6.065	7.8	52.873	4	305	19.2	390.91	5.52	22.8
0.19539	0.0	10.81	0	0.4130	6.245	6.2	52.873	4	305	19.2	377.17	7.54	23.4
0.07896	0.0	12.83	0	0.4370	6.273	6.0	42.515	5	398	18.7	394.92	6.78	24.1
0.09512	0.0	12.83	0	0.4370	6.286	45.0	45.026	5	398	18.7	383.23	8.94	21.4
0.10153	0.0	12.83	0	0.4370	6.279	74.5	40.522	5	398	18.7	373.66	11.97	20.0
0.08707	0.0	12.83	0	0.4370	6.140	45.8	40.905	5	398	18.7	386.96	10.27	20.8
0.05646	0.0	12.83	0	0.4370	6.232	53.7	50.141	5	398	18.7	386.40	12.34	21.2
0.08387	0.0	12.83	0	0.4370	5.874	36.6	45.026	5	398	18.7	396.06	9.10	20.3
0.04113	25.0	4.86	0	0.4260	6.727	33.5	54.007	4	281	19.0	396.90	5.29	28.0
0.04462	25.0	4.86	0	0.4260	6.619	70.4	54.007	4	281	19.0	395.63	7.22	23.9
0.03659	25.0	4.86	0	0.4260	6.302	32.2	54.007	4	281	19.0	396.90	6.72	24.8
0.03551	25.0	4.86	0	0.4260	6.167	46.7	54.007	4	281	19.0	390.64	7.51	22.9
0.05059	0.0	4.49	0	0.4490	6.389	48.0	47.794	3	247	18.5	396.90	9.62	23.9
0.05735	0.0	4.49	0	0.4490	6.630	56.1	44.377	3	247	18.5	392.30	6.53	26.6
0.05188	0.0	4.49	0	0.4490	6.015	45.1	44.272	3	247	18.5	395.99	12.86	22.5
0.07151	0.0	4.49	0	0.4490	6.121	56.8	37.476	3	247	18.5	395.15	8.44	22.2
0.05660	0.0	3.41	0	0.4890	7.007	86.3	34.217	2	270	17.8	396.90	5.50	23.6
0.05302	0.0	3.41	0	0.4890	7.079	63.1	34.145	2	270	17.8	396.06	5.70	28.7
