sexo	altura	peso	cintura	cadera
female	64	218	46	48
female	61	256	49	57
male	67	119	33	38
male	68	183	44	41
male	71	190	36	42
male	69	191	46	49
male	59	170	34	39
male	69	166	34	40
female	63	202	45	50
female	65	156	39	45
female	58	195	42	50
female	60	170	35	41
female	59	165	37	43
male	69	183	36	40
female	65	157	37	41
female	65	183	37	43
male	67	159	31	39
male	64	126	30	34
female	65	196	46	51
male	67	178	42	41
male	67	230	45	46
female	69	288	48	55
female	62	185	48	44
female	61	113	33	38
female	72	118	28	36
male	68	252	43	47
female	62	145	31	38
male	70	189	37	39
female	65	174	37	40
male	68	139	29	35
male	74	191	39	41
female	69	174	49	43
male	66	118	32	34
female	66	186	39	44
male	66	159	31	35
male	72	205	46	49
male	71	145	31	36
male	69	214	45	48
female	66	160	35	40
female	62	170	40	43
male	67	192	40	42
female	59	137	40	40
female	64	233	49	57
female	67	165	42	42
male	67	196	42	43
female	65	180	40	44
female	66	219	43	52
male	65	154	37	41
female	64	181	36	46
female	61	187	43	47
female	64	167	39	44
female	60	220	51	54
female	68	274	49	58
male	68	180	38	41
female	62	217	51	51
female	62	189	43	47
female	63	183	42	48
male	70	161	34	40
female	70	235	43	48
female	64	126	28	32
female	62	137	28	35
female	63	165	34	42
female	61	102	31	33
female	61	127	35	38
male	71	214	41	39
female	69	245	44	47
female	64	161	37	40
female	68	264	43	54
male	75	142	31	35
female	60	143	35	40
female	62	183	37	45
male	70	173	36	40
female	71	223	46	50
female	63	154	38	41
male	73	219	41	42
female	67	169	40	44
male	73	200	38	41
female	64	200	38	45
female	61	145	37	40
male	67	178	37	41
female	62	205	40	49
female	62	151	37	42
male	66	170	36	41
male	68	169	34	40
female	63	159	33	41
female	61	110	29	30
male	68	198	36	43
female	67	185	35	44
female	63	142	28	39
female	59	139	29	39
female	63	156	35	39
female	65	220	40	50
male	67	197	42	43
female	63	200	42	46
male	69	154	34	39
female	61	203	42	51
male	71	180	36	40
female	61	150	36	39
male	68	204	40	41
female	67	200	41	42
female	59	125	35	40
male	70	165	39	41
male	70	212	39	44
male	72	227	41	44
male	69	150	31	38
female	64	174	34	43
female	61	119	32	38
male	73	175	34	39
male	70	263	51	64
male	71	156	31	40
male	70	120	32	35
female	67	172	38	43
male	72	170	31	39
female	63	158	34	42
male	76	164	32	40
female	65	169	39	43
female	65	235	44	50
female	63	125	33	36
female	63	244	48	51
male	71	225	44	47
female	64	140	37	40
female	67	227	47	53
female	64	160	40	43
female	65	167	38	44
female	64	325	53	62
female	63	121	32	38
male	74	151	34	38
female	67	223	43	48
male	71	266	49	45
male	67	177	38	43
female	63	170	33	46
female	68	146	32	41
female	66	121	31	33
male	66	170	37	40
female	67	151	33	38
male	71	159	33	39
male	64	105	29	33
male	70	277	51	49
female	62	160	39	41
male	72	145	29	36
male	71	320	56	49
female	62	163	40	45
male	66	163	37	43
male	69	169	39	41
female	65	232	46	54
male	68	210	44	45
male	76	160	35	39
female	62	145	36	42
male	70	215	40	45
female	66	255	46	54
male	69	308	52	58
female	64	158	36	43
female	65	210	39	47
female	64	123	30	36
female	66	118	29	35
male	68	167	36	39
female	75	186	37	46
female	63	158	39	43
female	65	145	38	42
female	63	119	28	37
female	67	282	52	59
male	69	171	38	40
male	69	172	37	41
female	65	138	33	39
male	73	187	38	37
female	66	189	38	45
female	59	204	40	47
male	66	215	46	44
male	65	167	45	46
female	66	189	45	46
male	72	180	34	41
female	65	165	33	45
male	71	179	37	44
male	69	204	44	42
female	63	233	40	53
male	71	210	37	43
male	71	195	36	43
female	63	199	41	47
female	64	185	39	45
female	67	147	32	38
female	61	119	29	37
female	62	184	39	44
male	67	158	37	43
female	65	134	34	38
male	66	251	50	47
female	61	200	44	48
male	70	140	32	33
female	63	114	30	37
female	67	209	34	43
male	68	210	45	48
female	64	179	47	45
male	65	109	33	34
male	55	130	29	33
male	66	145	33	38
female	62	167	44	47
female	68	179	37	43
female	63	144	40	42
male	69	130	29	35
female	63	164	34	43
female	65	201	45	46
male	75	186	38	38
male	73	174	30	35
female	64	136	32	37
female	62	105	26	33
female	63	124	32	38
female	63	170	41	46
female	62	134	31	40
female	65	165	33	42
male	67	191	38	41
female	65	175	37	43
female	61	180	39	47
male	68	142	35	39
female	61	147	34	41
female	66	110	28	37
male	69	204	40	43
female	63	181	38	46
male	70	187	37	41
male	70	181	37	42
male	67	140	35	37
female	67	201	46	49
male	68	196	38	42
female	63	153	32	40
male	68	170	38	39
male	66	188	40	41
female	59	179	45	48
male	72	259	48	49
female	66	200	41	47
male	71	162	35	39
female	62	141	33	40
male	68	183	36	39
female	67	160	30	44
female	65	120	29	40
female	65	145	32	35
female	64	174	38	44
female	63	252	45	58
female	60	135	33	40
female	63	155	33	41
female	63	179	40	42
male	71	211	40	45
female	62	115	31	37
female	66	190	41	47
female	63	290	55	62
male	71	168	36	39
female	66	255	47	52
male	69	205	37	41
male	73	260	42	47
male	72	250	43	51
male	69	166	39	38
female	63	170	35	42
male	69	182	42	39
female	63	176	34	44
female	64	145	34	42
male	66	172	40	40
male	71	277	50	49
female	69	167	36	47
male	69	205	39	41
male	67	183	38	40
female	65	123	26	37
female	65	183	43	45
female	62	99	30	36
male	72	270	45	49
female	60	138	31	39
female	63	285	50	60
male	68	180	38	42
female	63	160	36	45
male	71	170	34	39
female	61	185	43	47
male	70	163	36	40
female	52	187	38	49
female	61	128	33	39
female	62	153	36	44
female	62	125	31	39
male	69	155	31	39
female	64	223	45	54
male	70	161	37	40
male	67	216	41	44
female	63	179	38	46
male	68	227	44	47
male	69	159	38	39
male	74	170	32	38
female	66	138	32	38
female	63	114	28	35
female	64	239	48	53
female	62	174	38	46
female	65	188	35	46
female	65	198	40	49
female	64	114	31	39
female	68	225	41	52
female	63	143	33	40
male	67	146	36	48
female	70	141	32	39
female	65	151	33	40
female	64	248	49	58
male	74	152	33	38
female	60	130	32	40
female	62	165	41	46
male	70	180	39	40
male	71	163	34	39
male	66	179	37	42
female	61	156	36	42
female	64	130	31	38
female	69	210	44	47
male	73	164	31	37
male	66	115	30	34
female	62	159	36	43
male	72	141	33	38
male	69	169	35	39
male	70	181	43	49
male	72	180	35	41
female	62	237	53	56
male	69	163	35	38
male	74	185	40	41
female	67	180	39	43
female	63	245	47	58
male	70	150	33	39
female	64	146	37	43
male	68	145	34	37
female	64	198	42	49
female	64	148	35	38
female	65	200	43	46
male	69	190	39	44
female	63	182	38	46
female	61	220	40	52
female	64	179	39	47
female	67	212	48	51
female	60	165	34	46
female	66	257	47	55
male	69	184	39	41
female	71	183	41	45
male	67	218	41	45
male	73	179	32	37
female	64	228	42	54
male	69	289	48	51
male	69	153	36	40
female	67	235	47	52
male	60	144	33	42
male	65	183	43	46
male	67	154	35	38
male	69	216	43	45
male	67	181	41	42
female	66	202	43	47
female	64	160	37	45
female	59	123	36	41
female	65	197	41	50
female	60	192	41	48
female	67	187	40	45
male	71	212	47	48
male	69	186	40	42
female	62	162	44	41
female	64	120	33	38
female	66	152	37	41
female	58	210	44	53
female	59	148	32	42
female	58	170	34	46
male	68	157	33	37
male	69	129	30	37
male	70	211	38	43
male	72	189	36	44
male	70	120	30	33
female	63	121	32	34
female	56	120	32	41
male	68	169	36	38
female	62	186	42	46
male	70	262	42	48
male	72	222	40	44
female	67	222	41	51
female	62	179	37	47
female	68	224	48	50
male	72	165	31	38
male	66	185	39	41
female	62	147	34	42
female	62	177	39	45
male	66	145	38	39
female	60	154	40	42
male	66	136	33	39
female	61	115	31	41
female	63	154	32	43
female	69	167	33	40
female	63	197	41	48
