Y,X1,X2,X3,X4,X5,X6,X7
malo,no,48,pre.bueno,personal,3051,hombre,no.solo
malo,cuenta.buena,9,pre.bueno,personal,1980,mujer,solo
bueno,cuenta.mala,18,pre.bueno,personal,2779,mujer,no.solo
malo,cuenta.mala,15,pre.bueno,personal,1271,hombre,no.solo
bueno,no,30,pre.malo,profesional,8072,hombre,no.solo
bueno,cuenta.buena,6,pre.bueno,personal,1338,hombre,solo
malo,cuenta.mala,36,pre.bueno,profesional,8086,hombre,no.solo
bueno,cuenta.mala,15,pre.bueno,personal,1537,hombre,no.solo
malo,no,12,pre.bueno,profesional,691,hombre,no.solo
bueno,cuenta.buena,48,pre.bueno,personal,6110,hombre,no.solo
malo,cuenta.mala,24,pre.bueno,profesional,947,hombre,no.solo
malo,no,48,pre.malo,personal,4605,hombre,no.solo
bueno,cuenta.buena,6,pre.malo,personal,1750,hombre,no.solo
malo,no,18,pre.bueno,personal,2124,mujer,solo
bueno,cuenta.mala,12,pre.bueno,profesional,1330,hombre,no.solo
bueno,no,12,pre.bueno,personal,1107,hombre,no.solo
bueno,cuenta.buena,9,pre.bueno,personal,1236,mujer,solo
bueno,cuenta.mala,20,pre.bueno,profesional,2629,hombre,no.solo
malo,no,36,pre.bueno,profesional,1842,mujer,solo
malo,cuenta.mala,9,pre.bueno,personal,1670,mujer,solo
bueno,cuenta.mala,36,pre.bueno,personal,4795,mujer,solo
bueno,no,12,pre.bueno,personal,1409,hombre,no.solo
malo,no,15,pre.bueno,profesional,3959,mujer,solo
bueno,cuenta.buena,48,pre.bueno,profesional,7629,hombre,solo
malo,no,24,pre.bueno,personal,2359,hombre,solo
malo,cuenta.mala,27,pre.bueno,profesional,3915,hombre,no.solo
malo,no,18,pre.bueno,personal,1217,mujer,no.solo
bueno,no,27,pre.bueno,profesional,2442,hombre,no.solo
malo,cuenta.mala,12,pre.bueno,personal,1484,mujer,no.solo
bueno,cuenta.mala,30,pre.malo,profesional,4221,mujer,solo
bueno,no,12,pre.bueno,profesional,3651,hombre,no.solo
malo,cuenta.mala,24,pre.bueno,personal,2039,mujer,no.solo
malo,no,6,pre.bueno,personal,448,mujer,solo
bueno,cuenta.buena,24,pre.bueno,personal,999,hombre,no.solo
malo,no,18,pre.bueno,personal,1882,mujer,solo
malo,cuenta.mala,18,pre.bueno,personal,1245,mujer,no.solo
malo,cuenta.mala,12,pre.bueno,profesional,939,mujer,no.solo
bueno,cuenta.mala,18,pre.bueno,personal,3612,mujer,solo
malo,cuenta.buena,12,pre.bueno,profesional,2292,hombre,no.solo
malo,cuenta.mala,36,pre.bueno,personal,2384,hombre,no.solo
malo,cuenta.mala,24,pre.bueno,personal,1216,hombre,no.solo
malo,no,45,pre.bueno,personal,1845,hombre,no.solo
bueno,cuenta.buena,12,pre.bueno,profesional,926,mujer,solo
bueno,cuenta.mala,30,pre.bueno,profesional,2503,hombre,no.solo
bueno,cuenta.buena,36,pre.bueno,profesional,875,hombre,no.solo
malo,cuenta.buena,24,pre.bueno,personal,2397,hombre,no.solo
bueno,cuenta.mala,30,pre.bueno,personal,3656,hombre,no.solo
malo,no,12,pre.malo,profesional,1082,hombre,no.solo
bueno,cuenta.buena,24,pre.bueno,personal,5507,hombre,no.solo
malo,cuenta.mala,9,pre.bueno,personal,745,mujer,solo
bueno,no,12,pre.bueno,personal,1200,mujer,solo
bueno,cuenta.buena,10,pre.bueno,personal,2901,mujer,solo
malo,cuenta.buena,48,pre.bueno,personal,1590,mujer,solo
bueno,cuenta.mala,36,pre.bueno,profesional,2862,hombre,no.solo
bueno,cuenta.buena,12,pre.bueno,personal,1291,mujer,solo
bueno,cuenta.mala,12,pre.bueno,personal,1155,mujer,no.solo
bueno,cuenta.buena,36,pre.bueno,profesional,5742,hombre,no.solo
bueno,cuenta.buena,24,pre.bueno,personal,3430,hombre,no.solo
bueno,cuenta.buena,24,pre.bueno,personal,2346,hombre,no.solo
malo,cuenta.mala,24,pre.bueno,personal,4113,mujer,solo
bueno,cuenta.buena,15,pre.malo,personal,1569,hombre,no.solo
malo,no,36,pre.bueno,personal,6887,hombre,no.solo
malo,cuenta.buena,24,pre.bueno,profesional,2538,hombre,no.solo
bueno,no,30,pre.bueno,personal,623,hombre,no.solo
malo,cuenta.buena,18,pre.bueno,personal,1943,mujer,solo
bueno,no,12,pre.bueno,personal,2214,hombre,no.solo
malo,no,18,pre.bueno,personal,750,mujer,solo
bueno,cuenta.mala,6,pre.bueno,personal,2116,hombre,no.solo
bueno,cuenta.buena,6,pre.malo,personal,426,mujer,no.solo
bueno,cuenta.mala,20,pre.bueno,personal,7057,hombre,no.solo
bueno,cuenta.buena,24,pre.bueno,personal,1851,mujer,no.solo
bueno,cuenta.mala,36,pre.bueno,personal,3711,mujer,no.solo
malo,cuenta.mala,48,pre.bueno,profesional,5672,hombre,no.solo
bueno,cuenta.mala,9,pre.bueno,profesional,1391,mujer,no.solo
bueno,cuenta.mala,12,pre.bueno,personal,1424,mujer,solo
bueno,cuenta.buena,18,pre.bueno,personal,1817,mujer,solo
malo,cuenta.buena,48,pre.bueno,profesional,127,hombre,no.solo
bueno,cuenta.buena,12,pre.bueno,personal,4675,mujer,solo
malo,cuenta.mala,48,pre.malo,profesional,4421,hombre,no.solo
bueno,no,18,pre.bueno,personal,8471,mujer,solo
bueno,cuenta.buena,15,pre.bueno,personal,3594,mujer,solo
malo,cuenta.mala,36,pre.bueno,profesional,4318,hombre,no.solo
bueno,cuenta.buena,6,pre.bueno,profesional,6761,hombre,no.solo
bueno,cuenta.buena,6,pre.bueno,profesional,2080,mujer,no.solo
bueno,cuenta.buena,48,pre.malo,profesional,3609,mujer,solo
bueno,no,48,pre.bueno,personal,4788,hombre,no.solo
malo,cuenta.buena,30,pre.malo,personal,7485,mujer,solo
malo,cuenta.buena,36,pre.bueno,profesional,9572,hombre,solo
bueno,cuenta.buena,21,pre.bueno,personal,2993,hombre,no.solo
bueno,cuenta.buena,24,pre.bueno,personal,3105,hombre,no.solo
malo,cuenta.buena,15,pre.bueno,personal,4623,hombre,no.solo
malo,no,36,pre.bueno,profesional,2145,hombre,no.solo
bueno,cuenta.mala,6,pre.bueno,personal,1047,mujer,solo
bueno,cuenta.buena,10,pre.bueno,profesional,1231,hombre,no.solo
bueno,cuenta.buena,36,pre.bueno,profesional,6304,hombre,no.solo
bueno,cuenta.buena,30,pre.bueno,personal,5954,hombre,no.solo
bueno,no,15,pre.bueno,personal,1433,mujer,solo
bueno,cuenta.mala,8,pre.bueno,personal,760,mujer,solo
bueno,cuenta.buena,24,pre.bueno,personal,3062,hombre,no.solo
bueno,no,24,pre.bueno,personal,3021,hombre,solo
bueno,no,36,pre.bueno,personal,5371,hombre,no.solo
bueno,no,12,pre.bueno,personal,1262,hombre,solo
bueno,no,6,pre.bueno,personal,1352,mujer,solo
bueno,cuenta.buena,13,pre.bueno,personal,1409,mujer,solo
bueno,cuenta.buena,10,pre.bueno,profesional,1546,hombre,no.solo
bueno,cuenta.buena,12,pre.bueno,profesional,2390,hombre,no.solo
bueno,cuenta.buena,24,pre.bueno,profesional,2032,hombre,no.solo
malo,cuenta.buena,27,pre.bueno,profesional,2570,mujer,solo
bueno,cuenta.buena,15,pre.bueno,personal,4657,hombre,no.solo
bueno,cuenta.mala,12,pre.bueno,personal,3573,mujer,solo
bueno,cuenta.buena,12,pre.bueno,personal,2096,hombre,no.solo
malo,cuenta.buena,21,pre.bueno,profesional,2580,hombre,no.solo
bueno,cuenta.mala,12,pre.bueno,personal,1474,mujer,solo
malo,no,36,pre.bueno,personal,8229,hombre,no.solo
bueno,cuenta.buena,6,pre.bueno,profesional,1743,hombre,no.solo
bueno,cuenta.mala,12,pre.bueno,personal,2930,mujer,solo
bueno,no,12,pre.bueno,profesional,2122,hombre,no.solo
bueno,cuenta.mala,9,pre.bueno,personal,1919,hombre,no.solo
bueno,cuenta.buena,36,pre.bueno,personal,4454,mujer,solo
bueno,cuenta.buena,6,pre.bueno,personal,1740,mujer,no.solo
bueno,cuenta.buena,6,pre.malo,profesional,1204,hombre,no.solo
malo,cuenta.mala,30,pre.bueno,profesional,4249,mujer,no.solo
bueno,cuenta.buena,15,pre.bueno,personal,1213,hombre,no.solo
bueno,no,6,pre.bueno,profesional,662,hombre,no.solo
bueno,cuenta.mala,15,pre.bueno,personal,1905,hombre,no.solo
malo,cuenta.mala,48,pre.bueno,personal,9960,mujer,solo
bueno,cuenta.buena,18,pre.bueno,personal,3378,hombre,no.solo
bueno,cuenta.mala,42,pre.bueno,profesional,5954,mujer,solo
bueno,cuenta.mala,12,pre.bueno,profesional,2366,hombre,solo
bueno,no,24,pre.bueno,profesional,1755,mujer,solo
bueno,cuenta.buena,24,pre.bueno,personal,1901,hombre,no.solo
bueno,cuenta.buena,21,pre.bueno,personal,1591,hombre,no.solo
bueno,cuenta.mala,30,pre.malo,personal,3496,hombre,no.solo
bueno,cuenta.mala,24,pre.bueno,personal,1925,hombre,no.solo
malo,no,24,pre.bueno,personal,1024,mujer,no.solo
bueno,cuenta.mala,36,pre.bueno,personal,2273,hombre,no.solo
malo,no,12,pre.bueno,profesional,3499,mujer,solo
bueno,cuenta.buena,15,pre.bueno,profesional,5324,mujer,solo
malo,cuenta.buena,18,pre.bueno,personal,1864,mujer,solo
bueno,cuenta.buena,36,pre.bueno,profesional,3535,hombre,no.solo
bueno,no,24,pre.bueno,personal,2384,hombre,no.solo
