,spk,filename,stage,trigger start,trigger end,trigger score,SNR,NetSpeech,NetSpeechAccum,NoiseLevel,PlosiveRatio,SaturationRatio,SpeechRatio
0,spk00001,RAW_SPK00001_M_P2105_L001_01_01_99_20180320_170203.wav,train,912,1648,0.003537356,28.02893448,2160,2160,57.60945892,3.901949644,0,69.00958252
1,spk00001,RAW_SPK00001_M_P2119_L001_01_01_99_20180320_170229.wav,train,640,1280,0.007674133,28.4853363,3760,3760,55.66650391,0,0,60.45016098
2,spk00001,RAW_SPK00001_M_P2136_L001_01_01_99_20180320_170256.wav,train,384,960,0.003487174,26.65122986,3030,3030,56.37072372,1.149918318,0,74.63053894
3,spk00001,RAW_SPK00001_M_P2140_L001_01_01_99_20180320_170344.wav,train,1088,1824,0.005675638,28.96086311,4390,4390,56.96194839,0,0,72.32289886
4,spk00001,RAW_SPK00001_M_P2141_L001_01_01_99_20180320_170357.wav,train,960,1344,0.003208096,27.13634682,3290,3290,55.0941658,0,0,72.30769348
5,spk00002,RAW_SPK00002_F_P2105_L001_01_01_99_20180321_111544.wav,train,816,1504,0.01130056,19.34609985,760,760,49.42264938,7.021103859,0,52.05479431
6,spk00002,RAW_SPK00002_F_P2119_L001_01_01_99_20180321_111604.wav,train,1088,1872,0.985154924,22.51771927,900,900,49.74347687,3.534946203,0,58.06451797
7,spk00002,RAW_SPK00002_F_P2140_L001_01_01_99_20180321_111737.wav,train,592,1408,0.040730462,16.02095413,860,860,51.93372345,8.138889313,0,54.08805084
8,spk00002,RAW_SPK00002_F_P2141_L001_01_01_99_20180321_111753.wav,train,0,1152,0.010529258,17.61374855,920,920,50.93400192,4.233870983,0,63.88888931
9,spk00003,RAW_SPK00003_M_P2105_L001_01_01_99_20180321_161050.wav,train,736,1392,0.003219919,32.99310303,1590,1590,55.30735779,0,0,72.60273743
10,spk00003,RAW_SPK00003_M_P2119_L001_01_01_99_20180321_161104.wav,train,688,1424,0.007465275,31.98193169,4630,4630,54.48270416,0,0,77.29549408
11,spk00003,RAW_SPK00003_M_P2136_L001_01_01_99_20180321_161123.wav,train,1024,1600,0.028243106,25.5426445,2250,2250,58.91301346,0,0,67.36527252
12,spk00003,RAW_SPK00003_M_P2140_L001_01_01_99_20180321_161157.wav,train,624,1312,0.003470944,32.21115875,3920,3920,55.14595032,0,0,66.78023529
13,spk00003,RAW_SPK00003_M_P2141_L001_01_01_99_20180321_161209.wav,train,624,1408,0.018289523,28.57628822,2720,2720,57.85059357,0,0,77.05382538
14,spk00004,RAW_SPK00004_F_P2105_L001_01_01_99_20180321_153336.wav,train,304,1024,0.008932482,29.61025047,1560,1560,52.90371323,0,0,81.67539215
15,spk00004,RAW_SPK00004_F_P2119_L001_01_01_99_20180321_153345.wav,train,304,928,0.010875277,34.32397842,2940,2940,52.63383865,0,0,77.98408508
16,spk00004,RAW_SPK00004_F_P2136_L001_01_01_99_20180321_153356.wav,train,176,832,0.005181849,28.33067513,2460,2460,56.06686401,0,0,82.27424622
17,spk00004,RAW_SPK00004_F_P2140_L001_01_01_99_20180321_153419.wav,train,256,912,0.003177127,32.98769379,3380,3380,53.04352951,0,0,69.97929382
18,spk00004,RAW_SPK00004_F_P2141_L001_01_01_99_20180321_153427.wav,train,224,896,0.003198536,27.38823509,2400,2400,55.13622284,0,0,92.30769348
19,spk00005,RAW_SPK00005_M_P2105_L001_01_01_99_20180321_173158.wav,train,0,960,0.007630273,31.00152397,1760,1760,44.36313248,0,0,67.17557526
20,spk00005,RAW_SPK00005_M_P2119_L001_01_01_99_20180321_173218.wav,train,352,1136,0.987745177,33.22680664,4320,4320,41.20506668,0,0,50.70422363
21,spk00005,RAW_SPK00005_M_P2136_L001_01_01_99_20180321_173241.wav,train,336,1200,0.007246369,32.09210587,3410,3410,41.33823776,0,0,62
22,spk00005,RAW_SPK00005_M_P2140_L001_01_01_99_20180321_173343.wav,train,320,1136,0.025154706,32.36119461,4290,4290,42.39200592,0,0,65
23,spk00005,RAW_SPK00005_M_P2141_L001_01_01_99_20180321_173357.wav,train,720,1120,0.008568642,31.28916359,3120,3120,43.565979,0,0,65.27196503
24,spk00006,RAW_SPK00006_M_P2105_L001_01_01_99_20180321_165426.wav,train,512,1168,0.005175197,36.67546844,1420,1420,44.50580597,0,0,65.43778992
25,spk00006,RAW_SPK00006_M_P2119_L001_01_01_99_20180321_165439.wav,train,16,944,0.008973628,44.03342438,3040,3040,42.91251373,0,0,55.17241287
26,spk00006,RAW_SPK00006_M_P2136_L001_01_01_99_20180321_165500.wav,train,960,1344,0.012634736,39.72834015,2380,2380,43.04983902,2.063533068,0,66.2952652
27,spk00006,RAW_SPK00006_M_P2140_L001_01_01_99_20180321_165530.wav,train,464,1088,0.00361634,40.46557999,3110,3110,43.69345474,0,0,76.03912354
28,spk00006,RAW_SPK00006_M_P2141_L001_01_01_99_20180321_165538.wav,train,208,1136,0.005902306,41.15140152,580,580,41.81168365,46.31356049,0,40.84506989
29,spk00007,RAW_SPK00007_F_P2105_L001_01_01_99_20180321_170615.wav,train,672,1296,0.008380096,27.54377556,1170,1170,46.81681061,6.386554718,0,53.18181992
30,spk00007,RAW_SPK00007_F_P2119_L001_01_01_99_20180321_170627.wav,train,688,1456,0.992713772,28.10469055,3100,3100,48.28297806,0,0,62
31,spk00007,RAW_SPK00007_F_P2136_L001_01_01_99_20180321_170644.wav,train,784,1472,0.023504928,22.96696281,2150,2150,52.5008049,1.156674266,0,75.97173309
32,spk00007,RAW_SPK00007_F_P2140_L001_01_01_99_20180321_170712.wav,train,1216,1920,0.019186109,24.02378273,3220,3220,54.75286484,5.640337467,0,73.51598358
398,spk00007,RAW_SPK00007_F_P2136_L001_01_01_99_20180321_170644.wav,train,784,1472,0.023504928,22.96696281,2150,2150,52.5008049,1.156674266,0,75.97173309
