"","year","month","day","hour","price_spain","datetime"
"1",2018,7,17,1,63.03,2018-07-17 01:00:00
"2",2018,7,17,2,61.15,2018-07-17 02:00:00
"3",2018,7,17,3,57.46,2018-07-17 03:00:00
"4",2018,7,17,4,56.85,2018-07-17 04:00:00
"5",2018,7,17,5,56,2018-07-17 05:00:00
"6",2018,7,17,6,56.85,2018-07-17 06:00:00
"7",2018,7,17,7,61.15,2018-07-17 07:00:00
"8",2018,7,17,8,62.86,2018-07-17 08:00:00
"9",2018,7,17,9,64.59,2018-07-17 09:00:00
"10",2018,7,17,10,65.36,2018-07-17 10:00:00
"11",2018,7,17,11,65.69,2018-07-17 11:00:00
"12",2018,7,17,12,65.69,2018-07-17 12:00:00
"13",2018,7,17,13,66.76,2018-07-17 13:00:00
"14",2018,7,17,14,66.94,2018-07-17 14:00:00
"15",2018,7,17,15,66.01,2018-07-17 15:00:00
"16",2018,7,17,16,65.67,2018-07-17 16:00:00
"17",2018,7,17,17,65.36,2018-07-17 17:00:00
"18",2018,7,17,18,65,2018-07-17 18:00:00
"19",2018,7,17,19,64.46,2018-07-17 19:00:00
"20",2018,7,17,20,63.9,2018-07-17 20:00:00
"21",2018,7,17,21,64.02,2018-07-17 21:00:00
"22",2018,7,17,22,64.46,2018-07-17 22:00:00
"23",2018,7,17,23,63.97,2018-07-17 23:00:00
"24",2018,7,17,24,60.57,2018-07-18 00:00:00
"25",2018,7,18,1,60.62,2018-07-18 01:00:00
"26",2018,7,18,2,56.85,2018-07-18 02:00:00
"27",2018,7,18,3,55,2018-07-18 03:00:00
"28",2018,7,18,4,54.65,2018-07-18 04:00:00
"29",2018,7,18,5,54.65,2018-07-18 05:00:00
"30",2018,7,18,6,55.53,2018-07-18 06:00:00
"31",2018,7,18,7,61.15,2018-07-18 07:00:00
"32",2018,7,18,8,64,2018-07-18 08:00:00
"33",2018,7,18,9,65.52,2018-07-18 09:00:00
"34",2018,7,18,10,66.69,2018-07-18 10:00:00
"35",2018,7,18,11,66.69,2018-07-18 11:00:00
"36",2018,7,18,12,66.69,2018-07-18 12:00:00
"37",2018,7,18,13,66.69,2018-07-18 13:00:00
"38",2018,7,18,14,66.76,2018-07-18 14:00:00
"39",2018,7,18,15,66.07,2018-07-18 15:00:00
"40",2018,7,18,16,65.61,2018-07-18 16:00:00
"41",2018,7,18,17,65.61,2018-07-18 17:00:00
"42",2018,7,18,18,65.67,2018-07-18 18:00:00
"43",2018,7,18,19,65.2,2018-07-18 19:00:00
"44",2018,7,18,20,64.69,2018-07-18 20:00:00
"45",2018,7,18,21,65.32,2018-07-18 21:00:00
"46",2018,7,18,22,66.1,2018-07-18 22:00:00
"47",2018,7,18,23,65.69,2018-07-18 23:00:00
"48",2018,7,18,24,65.36,2018-07-19 00:00:00
"49",2018,7,19,1,64.46,2018-07-19 01:00:00
"50",2018,7,19,2,63.18,2018-07-19 02:00:00
"51",2018,7,19,3,62,2018-07-19 03:00:00
"52",2018,7,19,4,59.4,2018-07-19 04:00:00
"53",2018,7,19,5,59.4,2018-07-19 05:00:00
"54",2018,7,19,6,61.15,2018-07-19 06:00:00
"55",2018,7,19,7,63.9,2018-07-19 07:00:00
"56",2018,7,19,8,64.46,2018-07-19 08:00:00
"57",2018,7,19,9,65.9,2018-07-19 09:00:00
"58",2018,7,19,10,67.02,2018-07-19 10:00:00
"59",2018,7,19,11,66.89,2018-07-19 11:00:00
"60",2018,7,19,12,66.69,2018-07-19 12:00:00
"61",2018,7,19,13,67.02,2018-07-19 13:00:00
"62",2018,7,19,14,66.69,2018-07-19 14:00:00
"63",2018,7,19,15,65.69,2018-07-19 15:00:00
"64",2018,7,19,16,65.59,2018-07-19 16:00:00
"65",2018,7,19,17,65.21,2018-07-19 17:00:00
"66",2018,7,19,18,64.69,2018-07-19 18:00:00
"67",2018,7,19,19,64.14,2018-07-19 19:00:00
"68",2018,7,19,20,63.9,2018-07-19 20:00:00
"69",2018,7,19,21,64.07,2018-07-19 21:00:00
"70",2018,7,19,22,64.39,2018-07-19 22:00:00
"71",2018,7,19,23,64.33,2018-07-19 23:00:00
"72",2018,7,19,24,63.68,2018-07-20 00:00:00
"73",2018,7,20,1,62.21,2018-07-20 01:00:00
"74",2018,7,20,2,58,2018-07-20 02:00:00
"75",2018,7,20,3,56.85,2018-07-20 03:00:00
"76",2018,7,20,4,55.99,2018-07-20 04:00:00
"77",2018,7,20,5,55.68,2018-07-20 05:00:00
"78",2018,7,20,6,56.85,2018-07-20 06:00:00
"79",2018,7,20,7,61.36,2018-07-20 07:00:00
"80",2018,7,20,8,63.01,2018-07-20 08:00:00
"81",2018,7,20,9,64.46,2018-07-20 09:00:00
"82",2018,7,20,10,65.67,2018-07-20 10:00:00
"83",2018,7,20,11,65.96,2018-07-20 11:00:00
"84",2018,7,20,12,65.96,2018-07-20 12:00:00
"85",2018,7,20,13,66.49,2018-07-20 13:00:00
"86",2018,7,20,14,66.3,2018-07-20 14:00:00
"87",2018,7,20,15,64.81,2018-07-20 15:00:00
"88",2018,7,20,16,63.9,2018-07-20 16:00:00
"89",2018,7,20,17,62.5,2018-07-20 17:00:00
"90",2018,7,20,18,61.17,2018-07-20 18:00:00
"91",2018,7,20,19,58.5,2018-07-20 19:00:00
"92",2018,7,20,20,58.95,2018-07-20 20:00:00
"93",2018,7,20,21,60.99,2018-07-20 21:00:00
"94",2018,7,20,22,62.5,2018-07-20 22:00:00
"95",2018,7,20,23,63,2018-07-20 23:00:00
"96",2018,7,20,24,62.12,2018-07-21 00:00:00
"97",2018,7,21,1,62.14,2018-07-21 01:00:00
"98",2018,7,21,2,60,2018-07-21 02:00:00
"99",2018,7,21,3,57.93,2018-07-21 03:00:00
"100",2018,7,21,4,58.01,2018-07-21 04:00:00
"101",2018,7,21,5,58.01,2018-07-21 05:00:00
"102",2018,7,21,6,58.68,2018-07-21 06:00:00
"103",2018,7,21,7,60,2018-07-21 07:00:00
"104",2018,7,21,8,60.01,2018-07-21 08:00:00
"105",2018,7,21,9,61.15,2018-07-21 09:00:00
"106",2018,7,21,10,62.76,2018-07-21 10:00:00
"107",2018,7,21,11,63.86,2018-07-21 11:00:00
"108",2018,7,21,12,63.9,2018-07-21 12:00:00
"109",2018,7,21,13,64.21,2018-07-21 13:00:00
"110",2018,7,21,14,64.21,2018-07-21 14:00:00
"111",2018,7,21,15,64.14,2018-07-21 15:00:00
"112",2018,7,21,16,63.01,2018-07-21 16:00:00
"113",2018,7,21,17,62.14,2018-07-21 17:00:00
"114",2018,7,21,18,60.89,2018-07-21 18:00:00
"115",2018,7,21,19,59.58,2018-07-21 19:00:00
"116",2018,7,21,20,60.89,2018-07-21 20:00:00
