"","Fecha","Incidente"
"1","01-11-2017 09:01","Incendio. Fuensalida (TO)"
"2","02-11-2017 18:24","Precipitación. Nambroca (TO)"
"3","04-11-2017 06:48","Incendio. Quintanar del Rey (CU)"
"4","04-11-2017 15:44","Seguridad ciudadana. Guadamur (TO)"
"5","04-11-2017 18:37","Accidente. Alcázar de San Juan (CR)"
"6","06-11-2017 20:49","Seguridad ciudadana. Villaluenga de la Sagra (TO)"
"7","08-11-2017 08:42","Incendio. Barajas de Melo (CU)"
"8","08-11-2017 10:45","Incendio. Guadalajara (GU)"
"9","08-11-2017 23:49","Incendio. Toledo (TO)"
"10","09-11-2017 14:27","Seguridad ciudadana. Cuenca (CU)"
"11","09-11-2017 21:08","Ataque de perro. Guadalajara (GU)"
"12","11-11-2017 17:27","Incendio. Hellín (AB)"
"13","12-11-2017 17:57","Incendio. Yepes (TO)"
"14","12-11-2017 23:23","Accidente de tráfico. Albacete (AB)"
"15","14-11-2017 02:47","Incendio. Calera y Chozas (TO)"
"16","14-11-2017 10:18","Accidente de tráfico. Bargas (TO)"
"17","16-11-2017 10:32","Accidente ferroviario. Bolaños de Calatrava (CR)"
"18","17-11-2017 00:11","Seguridad Ciudadana. Arenas de San Juan (CR)"
"19","18-11-2017 00:00","Accidente de tráfico. Hellín (AB)"
"20","18-11-2017 08:01","Accidente de tráfico. Santa Cruz de la Zarza (TO)"
"21","18-11-2017 14:47","Incendio. Calera y Chozas (TO)"
"22","18-11-2017 16:05","Accidente de tráfico. Cifuentes (GU)"
"23","18-11-2017 16:41","Desaparición. Laguna del Marquesado (CU)"
"24","18-11-2017 22:43","Ataque de perro. Alovera (GU)"
"25","19-11-2017 18:08","Incendio. Villarrubia de los Ojos (CR)"
"26","20-11-2017 20:54","Incendio. Bargas (TO)"
"27","21-11-2017 12:17","Fallecimiento ciclista. Caudete (AB)"
"28","22-11-2017 10:52","Accidente laboral. Villafranca de los Caballeros (TO)"
"29","24-11-2017 08:36","Accidente de tráfico. Herencia (CR)"
"30","24-11-2017 19:27","Accidente de tráfico. Saceruela (CR)"
"31","25-11-2017 05:13","Accidente. Consuegra (TO)"
"32","25-11-2017 15:28","Incendio. Ciudad Real (CR)"
"33","26-11-2017 00:26","Accidente de tráfico. Albacete (AB)"
"34","26-11-2017 13:56","Accidente de tráfico. Iniesta (CU)"
"35","26-11-2017 20:17","Accidente de tráfico. Manzanares (CR)"
"36","27-11-2017 11:38","Accidente de tráfico. Cuenca (CU)"
"37","28-11-2017 07:43","Accidente de tráfico. Villar de Olalla (CU)"
"38","28-11-2017 13:22","Rescate. Balsa de Ves (AB)"
