^ORIGIN_CITY_NAME^DEST_CITY_NAME
14^Guangzhou, China^Saipan, TT
15^Shanghai, China^Saipan, TT
16^Saipan, TT^Guangzhou, China
17^Saipan, TT^Shanghai, China
19^Tampa, FL^Zurich, Switzerland
21^Zurich, Switzerland^Tampa, FL
22^Dusseldorf, Germany^New York, NY
23^Dusseldorf, Germany^Miami, FL
24^Dusseldorf, Germany^Fort Myers, FL
25^New York, NY^Dusseldorf, Germany
26^New York, NY^Berlin, Germany
27^Miami, FL^Dusseldorf, Germany
28^Miami, FL^Berlin, Germany
29^Chicago, IL^Berlin, Germany
30^Fort Myers, FL^Dusseldorf, Germany
31^Berlin, Germany^New York, NY
32^Berlin, Germany^Miami, FL
33^Berlin, Germany^Chicago, IL
37^Atlanta, GA^Paris, France
40^Boston, MA^Paris, France
42^Paris, France^Atlanta, GA
43^Paris, France^Boston, MA
47^Paris, France^Detroit, MI
48^Paris, France^Washington, DC
49^Paris, France^Washington, DC
50^Paris, France^Houston, TX
51^Paris, France^Houston, TX
53^Paris, France^New York, NY
54^Paris, France^New York, NY
55^Paris, France^New York, NY
56^Paris, France^New York, NY
57^Paris, France^Los Angeles, CA
58^Paris, France^Los Angeles, CA
59^Paris, France^Miami, FL
63^Paris, France^San Francisco, CA
66^Detroit, MI^Paris, France
68^Washington, DC^Paris, France
69^Houston, TX^Paris, France
70^Houston, TX^Paris, France
74^New York, NY^Paris, France
75^New York, NY^Paris, France
76^New York, NY^Paris, France
77^New York, NY^Paris, France
79^Los Angeles, CA^Paris, France
80^Los Angeles, CA^Paris, France
81^Los Angeles, CA^Papeete, French Polynesia
85^Miami, FL^Paris, France
86^Miami, FL^Port-au-Prince, Haiti
93^Port-au-Prince, Haiti^Miami, FL
94^Papeete, French Polynesia^Los Angeles, CA
95^San Francisco, CA^Paris, France
97^Casablanca, Morocco^New York, NY
98^New York, NY^Casablanca, Morocco
115^Orlando, FL^Santo Domingo, Dominican Republic
117^Miami, FL^Santo Domingo, Dominican Republic
120^Santo Domingo, Dominican Republic^Orlando, FL
121^Santo Domingo, Dominican Republic^Miami, FL
125^Amsterdam, Netherlands^Atlanta, GA
127^Amsterdam, Netherlands^Atlanta, GA
129^Amsterdam, Netherlands^Washington, DC
130^Amsterdam, Netherlands^Houston, TX
131^Amsterdam, Netherlands^New York, NY
133^Amsterdam, Netherlands^New York, NY
134^Amsterdam, Netherlands^New York, NY
135^Amsterdam, Netherlands^Los Angeles, CA
136^Amsterdam, Netherlands^Chicago, IL
137^Amsterdam, Netherlands^San Francisco, CA
