YEAR;EARNED_PREMIUM;INSTALLMENT;GENDER;AGE_DRIVER;AGE_LICENSE;AGE_ADD_DRIVER;AGE_VEHICLE;CITIES;BRAND_TEXT;HPOWER;FUEL;VALUE_VEHICLE;POSTCODE;N_CLAIMS;INCURR_COST;EXPOSURE;ANTPOL;pesopot;DES_ZONE2;DES_ZONE;FUEL2
2011;15.04038462;2;1;44;17;9999;10;46;NISSAN;5;D;14875.050;46019;0;0;0.87;1;18.8;Urbano;Capital;D
2011;16.06617066;2;1;24;3;9999;5;50;FORD;5;D;14910.000;50196;0;0;1;1;19.33333333;Rural;Corona;D
2011;5.740437158;1;1;51;18;9999;1;21;FORD;8;D;20400.000;21560;0;0;0.3;1;14.96363636;Rural;Rural - Tam 2;D
2011;21.42689296;1;1;59;40;9999;9;46;FORD;9;D;23170.000;46014;0;0;1;1;15.744;Urbano;Capital;D
2011;16.21581522;2;1;47;25;9999;4;8;FORD;7;D;16420.000;08013;0;0;1;1;16.5;Urbano;Capital;D
2011;13.70928049;1;1;61;42;9999;6;43;FORD;7;D;17200.000;43791;0;0;1;1;26;Rural;Rural - Tam 2;D
2011;0.994614085;1;1;54;35;9999;5;8;FORD;7;D;15800.000;08013;0;0;0.04;1;15.66666667;Urbano;Capital;D
2011;1.711627907;1;1;38;20;9999;10;8;CITROEN;5;D;17837.000;08820;0;0;0.07;1;23.94366197;SubUrb;Corona;D
2011;14.81224044;1;1;50;14;9999;14;6;SEAT;4;G;11299.030;06100;0;0;0.34;1;16.96666667;Rural;Corona;G
2011;38.40161792;1;1;33;9;9999;4;23;PEUGEOT;9;D;27140.000;23440;0;0;1;1;11.06617647;Rural;Rural - Tam 4;D
2011;36.00507216;1;2;27;8;9999;4;18;BMW;10;D;25100.000;18015;0;0;1;1;9.160839161;Urbano;Capital;D
2011;60.53577251;1;1;57;29;9999;7;46;PORSCHE;12;G;42972.370;46009;0;0;1;1;6.495098039;Urbano;Capital;G
2011;33.29841054;2;2;38;15;9999;9;46;RENAULT;8;G;14840.000;46025;0;0;1;1;11.36363636;Urbano;Capital;G
2011;8.502227038;1;2;65;44;9999;4;3;FORD;5;G;9710.000;03779;0;0;1;1;12.92857143;Rural;Rural - Tam 2;G
2011;30.43242699;2;2;40;21;9999;10;46;CITROEN;8;G;19475.000;46760;0;0;1;1;10.64102564;Rural;Rural - Tam 4;G
2011;15.26905906;1;2;67;36;9999;3;24;FORD;7;G;15500.000;24006;0;0;1;1;11.24;SubUrb;Capital;G
2011;27.27196901;1;1;56;34;27;16;24;AUDI;9;G;25645.190;24270;0;0;1;1;10.88;Rural;Rural - Tam 2;G
2011;10.46065574;2;1;26;7;9999;8;17;MAZDA;9;D;24650.000;17600;0;0;0.25;1;11.32352941;SubUrb;Rural - Tam 5;D
2011;13.27458717;1;1;46;24;68;19;8;FORD;3;G;8287.960;08130;0;0;1;1;17.7;SubUrb;Influencia;G
2011;5.087213115;1;1;50;27;9999;7;38;CITROEN;4;G;13230.000;38108;0;0;0.3;1;15.67213115;Rural;Capital;G
2011;27.62935564;1;1;61;38;9999;14;50;PEUGEOT;8;D;23992.400;50017;0;0;1;1;13.54545455;Urbano;Capital;D
2011;17.96216957;2;1;32;11;9999;5;8;FORD;5;G;9710.000;08860;0;0;1;1;12.92857143;SubUrb;Influencia;G
2011;6.365136612;1;1;41;5;9999;21;28;FIAT;2;G;5616.460;28805;0;0;0.38;1;16.44444444;SubUrb;Influencia;G
2011;13.44934681;1;1;79;41;9999;1;24;FORD;6;G;13160.000;24009;0;0;1;1;12.85365854;SubUrb;Capital;G
2011;5.210737705;1;1;39;8;9999;18;29;FIAT;3;G;9261.600;29600;0;0;0.42;1;17.5;Urbano;Rural - Tam 7;G
2011;25.793409;2;1;43;10;9999;12;46;RENAULT;5;D;14935.150;46760;0;0;1;1;19.23076923;Rural;Rural - Tam 4;D
2011;15.82761719;1;2;63;33;9999;10;8;SMART;4;G;9005.000;08820;0;0;1;1;14.45454545;SubUrb;Corona;G
2011;19.32174062;1;1;60;42;9999;1;18;FORD;10;G;21700.000;18002;0;0;1;1;8.386666667;Urbano;Capital;G
2011;0.323369565;2;1;25;6;9999;1;22;FORD;8;D;22450.000;22340;0;0;0.02;1;10.9826087;Rural;Rural - Tam 1;D
2011;19.54114754;1;1;32;6;9999;11;25;FORD;9;D;24010.430;25270;0;0;0.55;1;12.03846154;Rural;Rural - Tam 2;D
2011;19.80913272;1;1;58;31;9999;12;46;FORD;7;D;16894.450;46920;0;0;1;1;15.7;Urbano;Corona;D
2011;22.31695652;2;1;45;19;9999;2;21;FORD;5;D;15000.000;21500;0;0;1;1;14.07142857;Rural;Corona;D
2011;18.36265551;1;1;64;36;9999;6;43;FORD;9;L;17645.000;43006;0;0;1;1;8.944;SubUrb;Capital;G
2011;16.54842391;2;2;24;5;9999;2;35;FORD;7;G;14900.000;35628;0;0;1;1;10.19791667;Rural;Rural - Tam 3;G
2011;5.640824176;2;1;51;33;9999;9;8;OPEL;7;D;23239.540;08500;0;0;0.17;1;14.28;Rural;Rural - Tam 5;D
2011;21.05338558;1;1;56;37;9999;14;8;FORD;8;G;15800.610;08980;0;0;1;1;11.10434783;SubUrb;Corona;G
2011;12.12988008;1;2;27;8;9999;3;38;FORD;5;G;11750.000;38410;0;0;1;1;12.53623188;Rural;Rural - Tam 5;G
2011;6.047540984;2;1;30;8;9999;17;17;OPEL;7;G;13667.020;17257;0;0;0.26;1;10.75;Rural;Rural - Tam 3;G
2011;20.20762295;1;1;44;14;9999;10;8;FIAT;7;G;15800.000;08370;0;0;0.79;1;12.86407767;Rural;Rural - Tam 3;G
2011;40.03819672;2;1;60;38;9999;6;8;VOLVO;11;D;45743.000;08480;0;0;0.81;1;10.90184049;SubUrb;Influencia;D
2011;22.00460169;1;1;40;20;9999;10;11;FORD;7;D;14724.800;11130;0;0;1;1;14.38888889;SubUrb;Rural - Tam 6;D
2011;18.17637593;1;1;52;34;19;7;23;PEUGEOT;5;G;10995.000;23004;0;0;1;1;13.66666667;SubUrb;Capital;G
2011;24.51658916;2;2;41;17;9999;1;47;FORD;5;D;15000.000;47155;0;0;1;1;14.07142857;Rural;Corona;D
2011;21.75192998;2;1;27;4;9999;6;23;FIAT;6;G;12750.000;23400;0;0;1;1;13.33333333;Rural;Rural - Tam 5;G
2011;38.5243956;3;1;50;29;26;1;41;FORD;7;D;13340.000;41210;0;0;1;1;15.12631579;Rural;Rural - Tam 3;D
2011;1.177150685;1;2;54;32;9999;1;38;FORD;6;G;12660.000;38670;0;0;0.12;1;12.85365854;SubUrb;Rural - Tam 5;G
2011;1.653833333;1;1;78;36;9999;8;8;FORD;6;G;12500.000;08700;0;0;0.11;1;14.4625;Rural;Rural - Tam 5;G
2011;29.51551823;1;2;56;25;9999;10;8;RENAULT;7;D;15956.870;08500;0;0;1;1;10.9047619;Rural;Rural - Tam 5;D
2011;19.98664384;1;2;37;15;9999;9;8;VOLKSWAGEN;5;G;11180.000;08026;0;0;1;1;14.46153846;Urbano;Capital;G
2011;0.25561326;1;1;43;24;9999;9;43;RENAULT;5;G;12250.000;43840;0;0;0.02;1;12.53333333;SubUrb;Capital;G
2011;27.40845821;1;1;47;14;9999;14;8;SEAT;4;D;13167.270;08788;0;0;1;1;18.046875;Rural;Rural - Tam 3;D
2011;0.862767123;1;1;38;20;9999;6;8;OPEL;9;D;23200.000;08830;0;0;0.03;1;12.81666667;SubUrb;Influencia;D
2011;54.80563585;1;1;32;12;9999;11;34;BMW;13;G;27200.000;34001;0;0;1;1;5.178571429;SubUrb;Capital;G
2011;0.670203297;1;1;68;29;9999;5;7;VOLKSWAGEN;5;G;14430.000;07620;0;0;0.05;1;13.61333333;Rural;Corona;G
2011;1.321222527;1;1;33;8;9999;15;8;NISSAN;7;G;14514.440;08915;0;0;0.07;1;12.75;SubUrb;Influencia;G
2011;1.248657534;1;1;43;7;9999;6;43;CITROEN;7;G;14920.000;43710;0;0;0.08;1;13.13333333;Rural;Rural - Tam 2;G
2011;4.502465753;1;2;46;7;9999;7;8;TOYOTA;6;X;24900.000;08034;0;0;0.15;1;15.70512821;Urbano;Capital;G
2011;24.43817567;1;1;57;37;9999;8;3;SKODA;7;D;15050.000;03169;0;0;1;1;11.33663366;Rural;Rural - Tam 4;D
2011;8.32626993;1;1;37;11;9999;20;48;SUZUKI-SANTANA;4;G;9315.690;48113;0;0;1;1;16.25;Rural;Rural - Tam 2;G
2011;19.37891145;1;2;50;24;9999;12;15;ROVER;7;D;14237.980;15281;0;0;1;1;11.3;Rural;Rural - Tam 3;D
2011;22.25483696;2;1;57;20;9999;21;15;FIAT;7;G;19050.000;15160;0;0;1;1;10;Rural;Rural - Tam 4;G
2011;15.92836066;1;1;56;35;9999;3;50;KIA;9;G;14840.000;50015;0;0;1;1;9.380952381;Urbano;Capital;G
2011;14.84394219;1;1;54;29;9999;18;32;PEUGEOT;5;D;13378.530;32600;0;0;1;1;16.78571429;Rural;Rural - Tam 4;D
2011;38.80087581;1;1;59;40;9999;4;41;PEUGEOT;8;D;23100.000;41700;0;0;1;1;13.52727273;Urbano;Corona;D
2011;29.61190129;2;2;52;23;9999;6;36;FORD;8;D;19005.000;36800;0;0;1;1;11.8;Rural;Influencia;D
2011;18.59904372;1;1;42;11;9999;5;18;NISSAN;6;D;16300.000;18230;0;0;1;1;13.54651163;Rural;Corona;D
2011;9.217482746;1;1;75;50;9999;15;24;PEUGEOT;4;G;8732.710;24121;0;0;1;1;14.83333333;Rural;Corona;G
2011;13.13636784;1;1;47;22;9999;9;21;FORD;6;G;9977.000;21007;0;0;1;1;10.43820225;SubUrb;Capital;G
2011;34.87744565;2;1;47;18;9999;11;8;RENAULT;9;D;24570.000;08880;0;0;1;1;11.25;Rural;Rural - Tam 2;D
2011;0.26201087;2;1;60;16;9999;5;29;SSANGYONG;11;D;28580.000;29640;0;0;0.01;1;12.95757576;Urbano;Influencia;D
2011;17.6835219;1;2;37;14;9999;10;33;CITROEN;5;D;14183.890;33008;0;0;1;1;15.8;Urbano;Capital;D
2011;0.131576087;2;2;25;6;9999;5;35;VOLKSWAGEN;5;G;13810.000;35570;0;0;0.01;1;13.61333333;Rural;Rural - Tam 3;G
2011;0.138097826;2;1;53;35;9999;7;30;OPEL;7;D;19285.000;30817;0;0;0.01;1;13.18;Rural;Rural - Tam 6;D
2011;15.16858696;2;1;42;22;9999;11;38;SKODA;7;D;16209.300;38190;0;0;1;1;14.11111111;Rural;Corona;D
2011;0.149424658;1;1;60;28;9999;13;12;SEAT;5;D;10758.120;12004;0;0;0.02;1;15.32352941;SubUrb;Capital;D
2011;0.147393548;1;1;65;45;9999;17;37;RENAULT;5;D;10848.270;37181;0;0;0.01;1;15.84615385;Rural;Rural - Tam 2;D
2011;13.1067943;1;2;28;8;53;4;34;KIA;5;G;8600.000;34005;0;0;1;1;13.13846154;SubUrb;Capital;G
2011;0.44909589;1;1;38;20;9999;10;45;HYUNDAI;10;D;28548.070;45112;0;0;0.01;1;13.13333333;Rural;Rural - Tam 1;D
2011;21.74;3;1;36;13;9999;10;41;PEUGEOT;9;D;38600.000;41009;0;0;0.25;1;11.875;Urbano;Capital;D
2011;0.313043478;2;1;37;8;9999;7;13;FORD;7;D;16800.000;13240;0;0;0.02;1;12.9;Rural;Rural - Tam 4;D
2011;15.33865768;1;2;28;8;9999;5;30;RENAULT;5;D;15900.000;30740;0;0;1;1;15.57142857;Rural;Rural - Tam 4;D
2011;15.73166023;1;1;37;19;9999;9;43;PEUGEOT;5;D;11419.230;43713;0;0;1;1;14.42857143;Rural;Rural - Tam 2;D
2011;76.70151583;1;1;50;23;9999;12;32;AUDI;13;G;72782.570;32630;0;0;1;1;6.083333333;Rural;Rural - Tam 3;G
2011;29.0738587;2;1;27;8;9999;8;45;MAZDA;7;G;17200.000;45210;0;0;1;1;11.64761905;Rural;Rural - Tam 2;G
2011;32.172209;1;2;56;33;9999;14;51;HYUNDAI;9;G;18006.320;51001;0;0;1;1;10.448;Rural;Rural - Tam 6;G
2011;24.28346995;1;1;67;48;9999;12;30;NISSAN;6;D;17621.000;30880;0;0;1;1;14.32926829;Rural;Rural - Tam 5;D
2011;10.33684783;2;1;45;2;9999;13;16;VOLKSWAGEN;4;G;7813.160;16400;0;0;1;1;15.75;Rural;Rural - Tam 4;G
2011;16.10073928;1;1;33;15;9999;11;33;SEAT;8;D;16830.000;33012;0;0;1;1;11.26363636;Urbano;Capital;D
2011;0.290410959;1;2;38;11;39;17;18;CITROEN;7;D;14646.300;18014;0;0;0.02;1;11.97826087;Urbano;Capital;D
2011;25.57663043;2;1;60;42;9999;8;30;RENAULT;8;G;24550.000;30564;0;0;1;1;12.40909091;Rural;Rural - Tam 3;G
2011;0.564410959;1;2;52;23;9999;12;15;ALFA ROMEO;9;D;33055.670;15701;0;0;0.02;1;11.50735294;SubUrb;Rural - Tam 7;D
2011;0.256793478;2;1;67;21;9999;8;38;PEUGEOT;7;G;12940.000;38530;0;0;0.02;1;10.55555556;Rural;Rural - Tam 4;G
2011;26.70804926;1;2;42;23;9999;16;46;PEUGEOT;4;G;19050.000;46026;0;0;1;1;16.5;Urbano;Capital;G
2011;23.69293478;3;1;21;3;9999;7;8;VOLKSWAGEN;5;G;14430.000;08760;0;0;1;1;13.61333333;SubUrb;Influencia;G
2011;0.593753425;1;1;59;39;9999;5;30;PEUGEOT;9;D;29100.000;30140;0;0;0.03;1;12.29411765;Rural;Corona;D
2011;12.27155685;1;1;51;33;9999;17;30;OPEL;2;G;8048.000;30007;0;0;1;1;16.33333333;Urbano;Capital;G
2011;0.46430137;1;2;27;7;9999;7;41;VOLKSWAGEN;4;G;19050.000;41980;0;0;0.03;1;17.88333333;Rural;Corona;G
2011;16.43203413;1;1;58;33;9999;14;13;SEAT;4;G;10799.890;13230;0;0;1;1;15.75;Rural;Rural - Tam 3;G
2011;27.85875979;1;1;51;14;9999;11;29;NISSAN;8;D;20437.000;29560;0;0;1;1;13.47321429;Rural;Rural - Tam 3;D
2011;18.95291938;1;1;31;12;9999;6;38;NISSAN;9;D;29350.000;38530;0;0;1;1;11.13970588;Rural;Rural - Tam 4;D
2011;31.33370799;1;2;56;37;9999;11;3;MITSUBISHI;11;D;32615.000;03724;0;0;1;1;12.4375;Rural;Rural - Tam 3;D
2011;8.964511565;1;1;66;29;9999;11;31;CITROEN;8;G;16894.450;31013;0;0;1;1;10.37272727;Urbano;Capital;G
2011;7.558287671;1;2;39;20;22;12;12;SEAT;5;G;12116.700;12006;0;0;0.51;1;12.73333333;SubUrb;Capital;G
2011;0.120821918;1;2;40;20;9999;25;38;OPEL;5;G;6519.600;38205;0;0;0.03;1;10.71428571;SubUrb;Capital;G
2011;41.48726671;1;1;71;31;37;6;21;VOLKSWAGEN;9;D;27950.000;21710;0;0;1;1;10.38571429;Rural;Rural - Tam 4;D
2011;18.03217391;2;1;56;33;9999;10;48;FORD;7;D;15740.000;48970;0;0;1;1;12.91;SubUrb;Corona;D
2011;0.369565217;2;1;49;25;9999;11;35;NISSAN;10;D;36301.130;35500;0;0;0.01;1;15.75949367;Rural;Rural - Tam 5;D
2011;17.95738491;1;1;41;22;9999;11;30;RENAULT;4;G;10427.560;30570;0;0;1;1;15;Rural;Capital;G
2011;10.58831829;1;1;68;49;9999;17;50;NISSAN;3;G;8282.000;50196;0;0;1;1;14.35185185;Rural;Corona;G
2011;22.54888614;1;1;59;32;9999;13;4;VOLKSWAGEN;4;G;10517.710;04118;0;0;1;1;16.21666667;Rural;Corona;G
2011;33.43690024;1;1;41;23;9999;9;2;BMW;12;D;46097.630;02438;0;0;1;1;11.71195652;Rural;Rural - Tam 2;D
2011;33.15652684;1;2;29;11;9999;8;25;VOLKSWAGEN;9;D;23860.000;25400;0;0;1;1;10.57692308;Rural;Rural - Tam 3;D
2011;36.26065574;1;1;61;36;9999;7;30;RENAULT;7;D;22460.000;30202;0;0;1;1;14.65;Urbano;Corona;D
2011;20.81643836;1;1;62;43;9999;14;43;PEUGEOT;8;G;14724.800;43736;0;0;0.21;1;10.625;Rural;Rural - Tam 1;G
2011;0.642164384;1;1;59;30;9999;8;7;FORD;7;D;20195.000;07400;0;0;0.04;1;12.33027523;Rural;Rural - Tam 4;D
2011;2.373152174;2;1;51;6;9999;12;45;MERCEDES;9;D;38849.420;45710;0;0;0.04;1;11.9379845;Rural;Rural - Tam 4;D
2011;0.270027397;1;2;67;43;9999;7;7;KIA;5;G;10245.000;07500;0;0;0.03;1;13.13846154;Rural;Rural - Tam 5;G
2011;33.52184783;2;1;31;9;9999;7;45;FORD;7;G;12020.240;45600;0;0;1;1;11.58;SubUrb;Rural - Tam 6;G
2011;16.99690658;1;1;68;39;9999;14;43;NISSAN;5;D;13059.990;43203;0;0;1;1;15.4;SubUrb;Corona;D
2011;26.3976776;1;1;60;39;9999;6;7;HONDA;8;X;24200.000;07141;0;0;1;1;12.43478261;Rural;Rural - Tam 5;G
2011;16.29726027;1;1;46;19;9999;8;21;CITROEN;5;G;15771.000;21120;0;0;1;1;14.88;Rural;Corona;G
2011;37.44097826;2;2;41;22;9999;7;41;FORD;7;D;18325.000;41740;0;0;1;1;12.66972477;Rural;Rural - Tam 5;D
2011;1.218082192;1;2;60;39;9999;15;15;AUDI;9;G;27045.540;15813;0;0;0.05;1;10.30075188;Rural;Rural - Tam 2;G
2011;38.77717391;2;1;36;17;9999;6;3;AUDI;9;D;29740.000;03007;0;0;1;1;11.15384615;Urbano;Capital;D
2011;20.71048913;2;2;50;9;9999;6;35;RENAULT;8;G;14630.000;35120;0;0;1;1;10.54545455;Rural;Rural - Tam 4;G
2011;10.40636377;1;1;47;27;22;17;27;FORD;4;D;9381.800;27833;0;0;1;1;15.33333333;Rural;Rural - Tam 2;D
2011;31.6931694;1;1;70;52;9999;19;38;MERCEDES;9;G;27524.670;38300;0;0;1;1;11.06557377;SubUrb;Rural - Tam 5;G
2011;13.8194397;1;1;73;23;9999;11;29;HONDA;7;G;14424.290;29601;0;0;1;1;10.55555556;;Rural - Tam 7;G
2011;12.35667864;1;2;45;22;9999;11;30;VOLKSWAGEN;4;G;9916.700;30507;0;0;1;1;17.16666667;;;G
2011;1.131616438;1;1;32;12;9999;3;41;PEUGEOT;7;D;20400.000;41530;0;0;0.04;1;14.36666667;Rural;Rural - Tam 5;D
2011;16.16411161;1;2;45;26;9999;8;7;VOLKSWAGEN;5;G;15305.000;07110;0;0;1;1;15.38666667;Rural;Corona;G
2011;0.616956522;2;2;43;18;9999;6;35;RENAULT;7;G;15420.000;35217;0;0;0.04;1;11.68367347;Rural;Capital;G
2011;17.25829284;1;2;36;7;35;12;13;SEAT;7;G;15896.770;13600;0;0;1;1;12.29;Rural;Rural - Tam 5;G
2011;14.65180216;1;2;30;9;9999;10;7;PEUGEOT;8;G;12272.670;07003;0;0;1;1;8.818181818;Urbano;Capital;G
2011;3.181972603;1;1;63;36;9999;11;45;FORD;8;D;20420.000;45594;0;0;0.11;1;12.99130435;Rural;Rural - Tam 1;D
2011;25.23456522;2;1;35;13;9999;13;12;VOLKSWAGEN;8;D;23920.280;12596;0;0;1;1;11.83478261;Rural;Rural - Tam 2;D
2011;17.08189307;1;1;38;16;9999;13;18;SEAT;7;D;14063.680;18211;0;0;1;1;12.87777778;añadido;Rural - Tam 2;D
2011;17.27647698;1;1;77;45;9999;12;48;FORD;7;D;13913.430;48902;0;0;1;1;13.26666667;SubUrb;Corona;D
2011;0.368630137;1;1;64;17;9999;19;32;SEAT;7;G;8666.590;32899;0;0;0.04;1;10.38888889;Rural;Rural - Tam 2;G
2011;19.56245003;1;2;36;17;9999;9;17;FORD;7;D;15930.000;17600;0;0;1;1;12.77;SubUrb;Rural - Tam 5;D
2011;16.41809357;1;1;45;25;9999;16;18;CITROEN;5;G;13462.670;18600;0;0;1;1;13.53333333;Rural;Rural - Tam 6;G
2011;0.329808219;1;1;67;47;9999;11;38;RENAULT;6;D;12711.410;38730;0;0;0.04;1;12.75;Rural;Rural - Tam 2;D
2011;14.80942623;1;2;51;23;9999;17;14;DAEWOO;6;G;8414.170;14940;0;0;1;1;13.14102564;Rural;Rural - Tam 5;G
2011;0.607260274;1;1;63;12;61;18;46;NISSAN;4;G;8054.000;46017;0;0;0.09;1;14.09090909;Urbano;Capital;G
2011;15.57800681;1;1;69;47;9999;20;15;VOLKSWAGEN;5;G;12777.520;15360;0;0;1;1;14.13333333;Rural;Rural - Tam 2;G
2011;0.534836957;2;1;46;26;9999;18;3;RENAULT;7;G;17369.250;03300;0;0;0.04;1;13.57894737;Rural;Rural - Tam 6;G
2011;15.9446767;1;1;53;35;9999;14;7;TOYOTA;8;G;15356.000;07183;0;0;1;1;10.27272727;Rural;Corona;G
2011;27.98554348;2;2;51;26;9999;11;2;AUDI;5;D;20404.360;02640;0;0;1;1;13.2;Rural;Rural - Tam 5;D
2011;22.04831522;2;2;33;12;9999;11;29;CITROEN;8;G;16894.450;29006;0;0;1;1;10.37272727;Urbano;Capital;G
2011;0.625315068;1;2;42;20;9999;11;18;OPEL;7;D;14550.500;18320;0;0;0.05;1;12.9;Rural;Corona;D
2011;4.069178082;1;1;47;24;9999;18;38;FORD;7;G;8492.300;38787;0;0;0.73;1;9.277777778;Rural;Rural - Tam 2;G
2011;18.70417352;1;1;69;48;9999;15;46;NISSAN;5;D;13823.280;46667;0;0;1;1;15.53333333;Rural;Rural - Tam 2;D
2011;27.75865416;1;1;49;31;21;12;8;NISSAN;7;D;20127.900;08207;0;0;1;1;15;SubUrb;Influencia;D
2011;9.172079198;1;1;87;65;9999;12;38;VOLKSWAGEN;5;G;13800.000;38400;0;0;1;1;13.57333333;Rural;Rural - Tam 5;G
2011;17.73293478;2;1;73;45;9999;14;30;CITROEN;5;D;13877.370;30880;0;0;1;1;15.8;Rural;Rural - Tam 5;D
2011;17.43239313;1;1;46;16;9999;10;35;VOLKSWAGEN;5;G;14430.000;35630;0;0;1;1;13.61333333;Rural;Rural - Tam 3;G
2011;34.38418478;2;1;41;13;9999;11;41;RENAULT;8;D;19833.400;41400;0;0;1;1;11.90909091;SubUrb;Rural - Tam 5;D
2011;0.77576087;2;1;54;35;9999;16;6;RENAULT;5;D;13432.620;06130;0;0;0.04;1;17.07692308;Rural;Corona;D
2011;4.135909091;1;1;51;32;24;8;41;AUDI;7;D;26670.000;41710;0;0;0.95;1;12.33333333;Rural;Rural - Tam 5;D
2011;30.97212531;1;2;49;29;9999;5;30;FORD;8;D;18385.000;30740;0;0;1;1;12.09565217;Rural;Rural - Tam 4;D
2011;0.37260274;1;1;50;31;9999;14;35;OPEL;2;G;8576.000;35500;0;0;0.05;1;18.77777778;Rural;Rural - Tam 5;G
2011;18.38109592;1;1;45;26;9999;11;25;NISSAN;5;D;13450.650;25175;0;0;1;1;16.33333333;;Rural - Tam 1;D
2011;1.188586957;2;1;49;29;9999;5;37;CITROEN;7;D;22290.000;37001;0;0;0.05;1;14.33333333;Urbano;Capital;D
2011;13.50242653;1;1;34;6;28;5;18;CHEVROLET-GM;7;G;12500.000;18600;0;0;1;1;12.44680851;Rural;Rural - Tam 6;G
2011;11.55941545;1;1;40;22;9999;19;29;RENAULT;5;D;10848.270;29600;0;0;1;1;15.84615385;Urbano;Rural - Tam 7;D
2011;0.960652174;2;1;54;13;9999;6;35;NISSAN;7;G;17600.000;35500;0;0;0.05;1;12.87735849;Rural;Rural - Tam 5;G
2011;19.97522361;1;1;60;40;9999;6;36;FORD;7;G;13630.000;36620;0;0;1;1;10.38;Rural;Rural - Tam 4;G
2011;19.97055131;1;2;35;17;9999;7;12;CITROEN;7;D;20836.000;12194;0;0;1;1;14.44444444;Rural;Rural - Tam 2;D
2011;0.868695652;2;2;51;30;24;6;12;OPEL;7;D;20800.000;12600;0;0;0.05;1;13.05;Rural;Rural - Tam 5;D
2011;26.76449854;1;2;45;26;9999;11;31;FORD;7;D;25810.000;31160;0;0;1;1;18.7;Rural;Corona;D
2011;3.066876712;1;1;37;18;9999;5;21;PEUGEOT;9;D;26200.000;21610;0;0;0.09;1;11.47058824;Rural;Corona;D
2011;1.187369863;1;1;38;4;9999;6;8;SEAT;7;D;17185.000;08923;0;0;0.05;1;11.88;SubUrb;Corona;D
